"Data","Desafio","Resposta","Resolve"
"7/29/2022","Um agente censitário visitou 25% dos locais necessários para completar sua atribuição.<br><br>Se ainda faltam visitar 5625 locais, então o total de locais já visitados corresponde a:","1875","Locais que faltam visitar = 100% - 25% = 75%<br>Regra de Três:<br>25% --------------- x<br><br>75% ---------------- 5625<br><br><br>75 x = 140,625<br>x = 140625/75​ = 1.875<br>"
"7/30/2022","Em uma corrida de rua com 50 participantes inscritos com as numerações de 1 a 50 ficaram nos três primeiros lugares os atletas cuja soma das inscrições era um número par. Nesta corrida, os três primeiros eram considerados os campeões e recebiam a mesma premiação, independente da ordem. Assinale a alternativa que apresenta de quantas maneiras essa situação pode acontecer.","9800","De 1 a 50 temos 25 números pares e 25 números ímpares<br>Inscrições que a soma é par:<br>1) Par , Par , Par<br>Como a ordem não importa, temos uma Combinação:<br>Combinação de 25 elementos tomados 3 a 3<br>(25/3​) = 25!​/(25−3)!⋅3! = 25⋅24⋅23​/3!<br>= 25⋅24⋅23/6​ = 2.300<br><br>2) Par, ímpar, ímpar<br>(25/1​)⋅(25/2​) = 25 ⋅ 25⋅24/2​ = 7.500<br><br>Total = 2.300+ 7.500 = 9.800"
"7/31/2022","Ao realizar o censo numa região, o agente verificou que percorreu, em um dia, a distância de 4,8 quilômetros, e no dia seguinte, percorreu 1,2 quilômetros a menos que o dia anterior. Nessas condições, a soma entre as distâncias percorridas nesses dois dias por esse agente foi de:","840000",""
"8/1/2022","Cada um dos amigos de Ana somou os algarismos de seu dia e mês de aniversário, escreveu em um cartão e entregou a Ana. Por exemplo, se um amigo nasceu em 28 de abril, ele somou 2 + 8 + 0 + 4 = 14. Em seguida, Ana somou os números de todos os cartões e obteve 35. Todos os amigos de Ana fazem aniversário em datas diferentes. O número máximo de amigos que Ana pode ter é:","13",""
"8/2/2022","Em uma terça-feira, Joana percebeu que 86 dias depois, completaria mais um ano de vida. Em qual dia da semana será o aniversário de Joana?","5",""
"8/3/2022","O estoque de enfeites grandes em uma loja é de 40 unidades. Com esse número, a razão entre a quantidade de enfeites grandes e a quantidade de enfeites pequenos é 2/75​. Chegarão na loja 600 enfeites pequenos já encomendados. Para ficar tranquilo com o estoque desses materiais, o dono da loja quer que a razão entre a quantidade de enfeites grandes e a quantidade de enfeites pequenos seja 1/25​ e, para isso acontecer, ele precisará comprar uma quantidade de enfeites grandes igual a:","44",""
"8/4/2022","Dois irmãos, Paulo e João, realizaram um investimento financeiro, e o lucro obtido foi dividido de forma proporcional ao valor aplicado por cada um. Sabe-se que Paulo investiu R$ 5.700,00, João investiu 2/3 do valor aplicado pelo seu irmão e que o lucro obtido no investimento, em um determinado período, foi de R$ 8.400,00. Nessa situação, a parte do lucro que coube a João foi igual a:","3360",""
"8/5/2022","Se em uma cidade com 8.500 moradores, 45% são crianças, quantas crianças moram nesta cidade? ","3825",""
"8/6/2022","No mês de outubro do ano de 2021, João completou 87 anos de idade. Em que ano João nasceu? ","1934",""
"8/7/2022","Marcela abriu uma confeitaria, onde vende tortas doces em fatias. A torta de chocolate que ela faz rende 10 fatias e a de morango rende 15 fatias. Se em uma semana Marcela vendeu 70 fatias de torta de chocolate e 90 fatias de torta de morango, quantas tortas, ao todo, ela vendeu?","13",""
"8/8/2022","Uma fábrica de pães produz 30 pães em 2 horas, logo podemos afirmar que em 5 horas serão produzidos:","75",""
"8/9/2022","Marcos tem três dúzias de laranjas para fazer sucos. Se ele utilizar duas laranjas por suco, quantos sucos consegue fazer?","18",""
"8/10/2022","Antônio recebeu uma mensagem em seu celular às 8h47min e uma segunda mensagem às 11 h28 min. O tempo, em minutos, transcorrido entre o recebimento da primeira e da segunda mensagem é igual a:","161",""
"8/11/2022","Carlos, Luciana e Jonas fizeram um total de 58 horas extras. Carlos fez uma hora extra a mais que a metade das que Luciana tinha feito. Jonas fez 4 horas extras a mais do que Carlos. O total das horas extras de Carlos e Jonas supera o número feito por Luciana em:","6",""
